StateAB,County,Population,EQ_Loss,EQ_pca,EQ_risk,Fire_Loss,Fire_pca,Fire_risk,Flood_Loss,Flood_pca,Flood_risk,Hurricane_Loss,Hurricane_pca,Hurricane_risk,Mud_Loss,Mud_pca,Mud_risk,Other_Loss,Other_pca,Other_risk,Storm_Loss,Storm_pca,Storm_risk,Tornado_Loss,Tornado_pca,Tornado_risk
KY,Bracken,8488,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
IL,Henry,50486,0,0,1,0,0,1,326819.49,6.473467694,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
VA,Orange,33481,1009418.48,30.14899436,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
CO,Adams,441603,0,0,1,0,0,1,2902066.87,6.571664753,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
VA,Fredericksburg,24286,422924.24,17.41432266,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
IL,McDonough,32612,0,0,1,0,0,1,1605924.81,49.24337085,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
SC,Greenwood,69661,0,0,1,0,0,1,468204.51,6.721185599,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MO,Camden,44002,0,0,1,0,0,1,290326.21,6.598023044,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
TX,Kaufman,103350,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
NJ,Bergen,905116,0,0,1,0,0,1,0,0,1,77003811.88,85.07618016,2,0,0,1,0,0,1,1725637.77,1.906537692,2,0,0,1
NY,Ulster,182493,0,0,1,0,0,1,0,0,1,14451114.18,79.18722461,2,0,0,1,0,0,1,352987.42,1.934251834,2,0,0,1
TX,Wichita,131500,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,260736.08,1.982783878,2,0,0,1
OK,McCurtain,33151,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,149711.41,4.516045067,2,0,0,1
OK,Pontotoc,37492,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,169486.63,4.520607863,2,0,0,1
TX,Cooke,38437,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,173872.88,4.523580925,2,0,0,1
IN,Wayne,68917,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,314743.82,4.566998273,2,0,0,1
KY,Ohio,23842,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,109280.79,4.58354123,2,0,0,1
MN,Beltrami,44442,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,204045.91,4.591285496,2,0,0,1
